# netscan ranked port dataset -- GENERATED by tools/gen-ports.py, do not edit.
# Format: <port>\t<service-name>. Line order is the scan-priority rank.
80	http
443	https
22	ssh
21	ftp
25	smtp
3389	ms-wbt-server
110	pop3
445	microsoft-ds
139	netbios-ssn
143	imap
53	domain
135	msrpc
3306	mysql
8080	http-proxy
23	telnet
1723	pptp
111	rpcbind
995	pop3s
993	imaps
5900	vnc
587	submission
8443	https-alt
8888	http-alt
1720	unknown
465	smtps
548	afp
113	ident
81	http-alt
6001	unknown
10000	webmin
514	shell
5060	unknown
179	bgp
1026	unknown
2000	unknown
8000	http-alt
32768	unknown
554	rtsp
26	rsftp
1433	ms-sql-s
49152	unknown
2001	unknown
515	printer
8008	http-alt
49154	unknown
1027	unknown
5666	nrpe
646	ldp
5000	upnp
5631	unknown
631	ipp
49153	unknown
8081	http-alt
2049	nfs
88	kerberos
79	finger
5800	unknown
106	pop3pw
2121	unknown
1110	unknown
49155	unknown
6000	x11
513	login
990	ftps
5357	unknown
427	svrloc
49156	unknown
543	klogin
544	kshell
5101	unknown
144	news
7	echo
389	ldap
8009	ajp13
3128	squid-http
444	snpp
9999	abyss
5009	unknown
7070	unknown
5190	unknown
3000	http-dev
5432	postgresql
1900	upnp
3986	unknown
13	daytime
1029	unknown
9	discard
5051	unknown
6646	unknown
49157	unknown
1028	unknown
873	rsync
1755	unknown
2717	unknown
4899	unknown
9100	jetdirect
119	nntp
37	time
1000	unknown
3001	unknown
5222	unknown
5269	unknown
6379	redis
27017	mongodb
9200	elasticsearch
11211	memcached
1521	oracle
5984	couchdb
8086	influxdb
2375	docker
2376	docker-ssl
5601	kibana
9092	kafka
15672	rabbitmq-mgmt
5672	amqp
61616	activemq
4369	epmd
27018	mongodb-shard
27019	mongodb-config
28017	unknown
7001	weblogic
7002	unknown
8161	activemq-admin
9160	cassandra-thrift
7199	unknown
2181	zookeeper
2888	unknown
3888	unknown
8020	hdfs
50070	hdfs-namenode
50075	unknown
8088	hadoop-yarn
19888	unknown
8032	unknown
6066	unknown
7077	spark
4040	unknown
18080	unknown
9090	prometheus
3200	unknown
8180	unknown
9000	cslistener
9001	unknown
9002	unknown
8001	unknown
8002	unknown
8003	unknown
8004	unknown
8005	unknown
8006	proxmox
8007	unknown
8010	unknown
8011	unknown
8012	unknown
8014	unknown
8015	unknown
8016	unknown
8019	unknown
8021	unknown
8022	unknown
8028	unknown
8030	unknown
8031	unknown
8042	unknown
8045	unknown
8050	unknown
8060	unknown
8070	unknown
8074	unknown
8082	unknown
8083	unknown
8084	unknown
8085	unknown
8087	unknown
8089	unknown
8090	unknown
8091	unknown
8092	unknown
8093	unknown
8094	unknown
8095	unknown
8096	unknown
8097	unknown
8098	unknown
8099	unknown
8100	unknown
8181	unknown
8182	unknown
