# netscan bundled MAC vendor prefixes.
#
# A curated subset of the IEEE OUI registry covering the manufacturers that
# appear on real office and home networks. Format: <OUI>\t<Vendor>.
#
# The full registry is roughly 35 000 entries; bundling it would add about a
# megabyte to every binary to name vendors that are almost never seen. Prefixes
# that are not listed here are reported as an unknown vendor rather than guessed.
#
# To add a vendor, append a line and keep the file sorted by prefix.

00:00:0c	Cisco Systems
00:01:42	Cisco Systems
00:01:64	Cisco Systems
00:03:93	Apple
00:03:ba	Oracle
00:04:76	3Com
00:05:02	Apple
00:05:69	VMware
00:06:5b	Dell
00:07:e9	Intel
00:0a:27	Apple
00:0a:95	Apple
00:0b:82	Grandstream Networks
00:0c:29	VMware
00:0c:42	MikroTik
00:0d:3a	Microsoft
00:0d:88	D-Link
00:0e:08	Cisco-Linksys
00:0e:58	Sonos
00:0f:b5	Netgear
00:10:18	Broadcom
00:10:5a	3Com
00:11:24	Apple
00:11:32	Synology
00:11:d8	Asustek
00:12:17	Cisco-Linksys
00:13:10	Cisco-Linksys
00:13:72	Dell
00:14:22	Dell
00:14:bf	Cisco-Linksys
00:15:5d	Microsoft (Hyper-V)
00:15:99	Samsung
00:16:3e	Xensource
00:16:cb	Apple
00:17:88	Signify (Philips Hue)
00:17:9a	D-Link
00:18:0a	Cisco Meraki
00:18:8b	Dell
00:19:99	Fujitsu
00:19:b9	Dell
00:1a:11	Google
00:1a:2b	Ayecom
00:1a:a0	Dell
00:1b:21	Intel
00:1b:63	Apple
00:1b:78	Hewlett Packard
00:1c:14	VMware
00:1c:23	Dell
00:1c:42	Parallels
00:1c:b3	Apple
00:1d:0f	TP-Link
00:1d:7e	Cisco-Linksys
00:1e:52	Apple
00:1e:8c	Asustek
00:1e:c9	Dell
00:1f:16	Wistron
00:1f:3a	Hon Hai
00:1f:5b	Apple
00:1f:f3	Apple
00:21:5a	Hewlett Packard
00:21:6a	Intel
00:21:9b	Dell
00:21:cc	Flextronics
00:21:e9	Apple
00:22:19	Dell
00:22:41	Apple
00:22:64	Hewlett Packard
00:23:12	Apple
00:23:24	G-Pro Computer
00:23:32	Apple
00:23:ae	Dell
00:23:df	Apple
00:24:36	Apple
00:24:81	Hewlett Packard
00:24:e8	Dell
00:25:00	Apple
00:25:64	Dell
00:25:90	Super Micro Computer
00:25:bc	Apple
00:26:08	Apple
00:26:4a	Apple
00:26:5e	Hon Hai
00:26:b0	Apple
00:26:bb	Apple
00:27:10	Intel
00:30:48	Super Micro Computer
00:30:65	Apple
00:40:63	VIA Networking
00:50:56	VMware
00:50:8b	Hewlett Packard
00:50:c2	IEEE Registration Authority
00:50:f2	Microsoft
00:60:2f	Cisco Systems
00:60:b0	Hewlett Packard
00:80:64	Netcomm
00:80:77	Brother Industries
00:90:27	Intel
00:90:a9	Western Digital
00:a0:c9	Intel
00:b0:d0	Dell
00:c0:4f	Dell
00:d0:b7	Intel
00:e0:4c	Realtek
00:e0:81	Tyan Computer
00:e0:db	ViaVideo
02:42:ac	Docker (local)
04:0c:ce	Apple
04:18:d6	Ubiquiti Networks
04:5d:56	Sonos
04:99:bb	Sagemcom
08:00:07	Apple
08:00:20	Oracle
08:00:27	Oracle VirtualBox
08:00:2b	Digital Equipment
08:00:37	Fuji Xerox
08:00:69	Silicon Graphics
08:62:66	Asustek
0c:47:c9	Amazon Technologies
0c:8d:db	Sonos
10:0b:a9	Intel
10:9a:dd	Apple
10:bf:48	Asustek
14:10:9f	Apple
14:cc:20	TP-Link
18:03:73	Dell
18:66:da	Dell
18:a6:f7	TP-Link
1c:1b:0d	Giga-Byte
1c:6f:65	Giga-Byte
20:c9:d0	Apple
24:0a:c4	Espressif
24:5e:be	QNAP Systems
24:a4:3c	Ubiquiti Networks
28:cf:e9	Apple
2c:27:d7	Hewlett Packard
2c:54:91	Hewlett Packard
2c:f0:5d	Micro-Star
30:23:03	Belkin
30:9c:23	Micro-Star
30:b5:c2	TP-Link
34:15:9e	Apple
34:29:8f	IEEE Registration Authority
34:64:a9	Hewlett Packard
38:22:d6	Hangzhou H3C
38:c9:86	Apple
3c:07:54	Apple
3c:d9:2b	Hewlett Packard
40:16:7e	Asustek
40:6c:8f	Apple
44:38:39	Cumulus Networks
44:d9:e7	Ubiquiti Networks
48:d7:05	Apple
4c:5e:0c	Routerboard (MikroTik)
4c:e6:76	Buffalo
50:65:f3	Hewlett Packard
50:c7:bf	TP-Link
52:54:00	QEMU
54:04:a6	Asustek
54:b2:03	Apple
54:e0:32	Cisco Meraki
58:20:b1	Hewlett Packard
5c:26:0a	Dell
5c:f9:38	Apple
60:03:08	Apple
60:e3:27	TP-Link
64:00:6a	Dell
64:16:66	Nest Labs
64:66:b3	TP-Link
64:d1:54	Routerboard (MikroTik)
68:5b:35	Apple
68:d7:9a	Espressif
6c:3b:6b	Routerboard (MikroTik)
6c:62:6d	Micro-Star
70:56:81	Apple
70:85:c2	Asustek
74:83:c2	Ubiquiti Networks
74:d0:2b	Asustek
78:24:af	Asustek
78:31:c1	Apple
78:8a:20	Ubiquiti Networks
78:e7:d1	Hewlett Packard
7c:2f:80	Gigaset
7c:d1:c3	Apple
80:2a:a8	Ubiquiti Networks
80:e8:2c	Hewlett Packard
84:16:f9	TP-Link
84:38:35	Apple
88:66:5a	Apple
8c:85:90	Apple
90:9c:4a	TP-Link
90:e2:ba	Intel
94:10:3e	Belkin
94:de:80	Giga-Byte
98:5a:eb	Apple
98:da:c4	Ubiquiti Networks
9c:20:7b	Apple
9c:8e:cd	Ubiquiti Networks
a0:36:9f	Intel
a0:99:9b	Apple
a4:5e:60	Apple
a4:83:e7	Apple
a8:5e:45	Asustek
ac:1f:6b	Super Micro Computer
ac:22:0b	Asustek
ac:87:a3	Apple
b0:2a:43	Sonos
b0:34:95	Apple
b0:be:76	TP-Link
b4:2e:99	Giga-Byte
b8:27:eb	Raspberry Pi Foundation
b8:af:67	Hewlett Packard
b8:e8:56	Apple
bc:24:11	Proxmox Server Solutions
bc:5f:f4	ASRock
bc:d0:74	Huawei
c0:25:e9	D-Link
c0:56:27	Belkin
c4:2c:03	Apple
c8:1f:66	Dell
c8:2a:14	Apple
c8:60:00	Asustek
cc:2d:e0	Routerboard (MikroTik)
d0:37:45	TP-Link
d0:50:99	ASRock
d4:6d:6d	Intel
d4:ae:52	Dell
d8:3a:dd	Raspberry Pi Trading
