# netscan ranked port dataset -- GENERATED by tools/gen-ports.py, do not edit.
# Format: <port>\t<service-name>. Line order is the scan-priority rank.
53	domain
67	dhcps
68	dhcpc
123	ntp
137	netbios-ns
138	netbios-dgm
161	snmp
162	snmptrap
500	isakmp
514	syslog
520	route
631	ipp
1434	ms-sql-m
1900	upnp
4500	ipsec-nat-t
5353	mdns
5355	llmnr
69	tftp
111	rpcbind
135	msrpc
139	netbios-ssn
445	microsoft-ds
623	ipmi
1701	l2tp
1812	radius
1813	radacct
2049	nfs
3478	stun
5060	sip
5061	sips
11211	memcached
27015	halflife
27016	unknown
47808	bacnet
49152	unknown
49153	unknown
49154	unknown
5632	pcanywhere
17185	wdbrpc
177	xdmcp
19	chargen
7	echo
9	discard
13	daytime
17	unknown
37	time
39	unknown
42	nameserver
49	tacacs
88	kerberos
106	unknown
120	unknown
158	unknown
176	unknown
192	unknown
195	unknown
213	unknown
259	unknown
260	unknown
264	unknown
322	unknown
349	unknown
351	unknown
365	unknown
370	unknown
389	ldap
407	unknown
427	svrloc
434	unknown
443	https
464	unknown
465	unknown
512	unknown
513	unknown
517	unknown
518	unknown
525	unknown
533	unknown
546	dhcpv6-client
547	dhcpv6-server
548	unknown
555	unknown
593	unknown
626	unknown
660	unknown
683	unknown
687	unknown
749	unknown
750	unknown
782	unknown
787	unknown
800	unknown
808	unknown
828	unknown
829	unknown
860	unknown
902	unknown
903	unknown
989	unknown
990	unknown
996	unknown
997	unknown
998	unknown
999	unknown
1000	unknown
1001	unknown
1008	unknown
1010	unknown
1021	unknown
1022	unknown
1023	unknown
1025	unknown
1026	unknown
1027	unknown
1028	unknown
1029	unknown
1030	unknown
1031	unknown
1032	unknown
1033	unknown
1034	unknown
1035	unknown
1036	unknown
1037	unknown
1038	unknown
1039	unknown
1040	unknown
1041	unknown
1042	unknown
1043	unknown
1044	unknown
1045	unknown
1046	unknown
1047	unknown
1048	unknown
1049	unknown
1050	unknown
1051	unknown
1054	unknown
1058	unknown
1060	unknown
1064	unknown
1065	unknown
1066	unknown
1067	unknown
1068	unknown
1069	unknown
1070	unknown
1072	unknown
1080	unknown
1081	unknown
1087	unknown
1088	unknown
1090	unknown
1097	unknown
1100	unknown
1105	unknown
1110	unknown
1124	unknown
1234	unknown
1352	unknown
1433	unknown
1500	unknown
1503	unknown
1524	unknown
1600	unknown
1645	radius
1646	radacct
1718	unknown
1719	unknown
1720	unknown
1723	unknown
1761	unknown
1782	unknown
1801	unknown
1811	unknown
1863	unknown
1885	unknown
1886	unknown
1993	unknown
1994	unknown
1997	unknown
1998	unknown
1999	unknown
2000	unknown
2001	unknown
2002	unknown
2003	unknown
2004	unknown
2005	unknown
2006	unknown
2007	unknown
2008	unknown
2009	unknown
2010	unknown
2011	unknown
2012	unknown
2013	unknown
2014	unknown
2019	unknown
2020	unknown
2021	unknown
2022	unknown
2030	unknown
2048	unknown
2050	unknown
2051	unknown
2065	unknown
2100	unknown
2111	unknown
2120	unknown
2126	unknown
2135	unknown
2160	unknown
2161	unknown
2222	unknown
2223	unknown
2301	unknown
2343	unknown
2362	unknown
2967	unknown
2968	unknown
3052	unknown
3130	unknown
3283	netassistant
3296	unknown
3343	unknown
3389	unknown
3401	unknown
3456	unknown
3457	unknown
3659	unknown
3702	unknown
3703	unknown
